area,expensive
109.878945248589,1
110.15115149803302,1
48.76132102302835,0
98.80739770450728,1
34.96896994092786,0
71.49038734278759,0
58.891684153817266,0
30.258081066690593,0
81.8643884141758,1
37.6123993004836,0
71.17905356999337,1
65.6574109331919,1
74.52025375460674,0
49.14404941800113,0
29.551717194716403,0
46.01735990216291,0
112.7007590429822,1
74.60053852549868,0
102.83690388655167,1
45.050310073119036,0
76.23087159570694,1
83.7698586289505,0
72.09061200818945,1
25.18898956543249,0
58.67469587032111,1
89.37247443557915,0
69.89008872097799,1
113.02216340580736,1
48.65583602320925,0
90.81381365943015,1
80.65552855108186,0
97.83411757770176,1
107.64379645087884,1
88.94473720963681,1
106.70977540284103,1
39.75053884290598,0
68.84418178238595,0
50.00657604536661,0
62.7489336035924,0
54.08454810022401,0
23.23412067811021,0
118.39292499572421,1
117.97704334446482,1
87.70905085026047,1
40.69506668760679,0
52.755004999445504,0
31.171663921101793,0
44.79275612008266,0
22.98139112779847,0
68.23502232396888,0
115.93161252578825,1
119.76943181766622,1
112.09177868735846,1
42.246018025274864,0
100.57370591442742,1
77.24939534468132,0
107.39708202888565,1
63.54240777834069,1
115.22834679565705,1
116.45576410241942,1
58.12249866302446,1
55.835076534554744,1
62.43201115065796,0
20.213300419733955,0
73.99058424189704,1
86.2182768710064,0
74.70879981742152,1
111.5580887834111,1
39.937231007331405,0
38.04278970628147,0
81.1870949703169,1
66.61635570333303,0
91.19126531780624,0
28.674210569839467,0
83.2848828762453,0
20.294854961066537,0
64.48846453387284,0
117.7424619098837,1
114.83354782873398,1
118.37288061096775,1
119.19496985749662,0
58.61449089881036,1
94.04995591166225,1
49.1203230474799,0
39.15024753929988,0
111.01918927369931,1
31.27852575372571,0
92.07875086081192,1
61.051357767147,0
90.54307746250306,1
78.77964101887295,0
82.1637051955696,1
50.56709668998676,0
113.36704236439454,1
92.1985670248852,1
102.71727620707014,1
85.47284857913145,1
35.247985630133854,0
93.14035627484891,1
118.62143660401877,1
