Area,Expert_review,Expert_review_2,Price
42.14376425375858,87,634,32388
117.05484679575189,37,915,41779
115.49653362678764,43,712,47724
32.408415705809865,56,843,22827
114.78149086903501,99,528,76473
99.9149372344088,15,150,35611
93.94713263110256,86,151,63765
54.03319761200654,32,285,33246
59.60158387914741,68,967,29154
126.15872072015011,93,309,86299
44.55124875630743,32,708,29594
101.31728412670391,86,723,47824
50.11802909920982,58,436,38614
80.42222733561616,73,226,52032
30.187743634848847,28,401,19902
74.06228241793201,41,346,33142
35.12659814990792,12,253,18782
55.085808945006136,17,934,24327
43.62888385073191,97,138,20547
38.330529342606866,82,508,33117
109.0845316514648,57,773,70444
81.02913106324317,21,787,37056
58.693256736290195,65,234,28977
31.59923506004337,65,367,27057
101.70257830794971,56,711,35960
32.88274870569427,36,881,21809
40.461106355260306,60,558,27421
34.81790992503941,56,102,25065
116.50417232547318,93,620,55899
64.8117508538192,73,827,37244
34.96998176167672,44,923,21940
118.2355061987653,96,389,82642
37.84887926768533,29,791,30317
97.77746055254099,56,420,33689
43.2446125962571,77,757,38353
89.75056508309223,11,828,48699
35.69842548052356,95,150,23454
91.15581449965018,95,252,35514
39.70966463050947,95,399,36888
62.47635243423063,84,171,44999
80.4198329938918,91,420,51630
102.37057445311494,23,920,70129
63.97896186495005,19,182,40663
113.2110341482076,64,287,39974
85.18562019951597,12,415,36616
59.77491236506698,22,293,28701
81.70647102540993,37,703,56296
127.68458763992308,61,569,68682
109.53753801676491,21,584,49739
82.97940622184257,37,898,51476
43.3302199790472,42,765,21709
82.56119158459171,15,239,34175
68.35174344753239,25,584,43262
76.6900377266001,63,226,24885
32.60998324499718,17,402,23418
93.50619368616009,49,928,63028
102.88337755142267,99,240,69908
65.87129381700962,91,376,30039
76.7437147352679,27,956,30228
69.51046461035794,47,776,51645
93.8329756243314,95,936,57878
52.53013881344836,50,202,31434
94.98022226077958,60,183,33987
64.94248747764772,22,589,28791
70.6256608613254,19,574,39443
109.10834481458848,23,899,46927
62.29162235513159,97,135,33365
123.63336924078969,55,605,60940
108.7156444052098,65,722,73359
71.9362048360641,99,614,51143
107.52145571725977,32,920,49375
118.20378220987128,27,519,47932
94.27735505263385,59,458,63238
128.57604762545913,49,733,82895
44.618674035129054,99,436,29020
117.30825255808745,94,703,60023
95.4616140505949,98,978,50457
105.95769035864122,88,267,69902
112.74729818373902,32,936,50280
108.09974547291294,93,262,75824
34.509955882900755,82,516,29774
127.95355823233226,64,836,84548
48.24007698713824,56,212,24389
71.551459077117,64,460,35475
39.94839056095246,70,945,37397
60.99024768499312,85,908,42785
42.997704713291185,31,196,25283
52.1558651737892,55,272,20433
58.05585751176386,35,229,39169
57.55631912043841,19,324,20041
82.63270964622942,44,334,31845
84.18178513586437,76,302,39734
119.09634346130501,28,558,60611
119.6716602592592,94,913,48752
84.69438647572122,25,807,32305
55.23619433012717,75,551,38904
78.42643022788587,89,710,52334
72.01181872406073,43,219,45856
112.60235040995006,22,531,31608
75.83963099379315,55,334,49642
