Area,Expert_review,Price
111.9465997963755,47,32901
103.97017033552304,34,65318
125.11602238007843,35,70867
94.40577330667719,96,30774
55.02921087571559,70,26895
81.31291848190716,79,54120
100.41941981538751,57,31331
94.37073164771839,35,25503
128.77228224867304,81,58354
58.38774526900587,16,24594
53.49964993723155,69,35096
51.69291702634705,63,35618
111.88401921030422,85,63768
40.24830565508715,46,21038
78.48420406588349,90,44245
116.11645008596345,22,64366
70.77963209758555,90,24705
80.41741927111761,71,30808
98.44432896104792,10,32294
60.09846885886216,83,33669
60.42483320554295,74,38256
86.37398421196076,88,55208
111.55229131668021,26,38349
117.91776219318052,61,46203
98.28973157266535,36,41445
111.70344346349616,92,36522
82.81749448665386,68,37746
94.20465891016597,53,60175
67.82929296584597,22,30234
83.49587927970991,88,45859
33.271372653430824,16,20366
129.7483120729587,62,79660
48.82494997520415,91,36601
61.64190920905898,57,29208
92.32530452304356,61,49544
114.74516604677407,83,65725
43.85316283364387,28,25299
112.47954010402441,88,33012
90.98723884393499,48,23033
40.80532466454128,58,16698
39.30360049920074,57,22342
83.7804161805953,47,26174
45.05273959813776,90,22236
77.12596600261986,96,25061
89.04964462645484,41,36344
128.08682878088655,23,72293
33.792493425618346,49,16655
127.65748088266426,51,69669
82.34487029473266,10,25983
113.70756799935322,40,65329
79.78794462649125,51,45313
70.02254411733173,25,19723
114.89881698370272,81,38814
105.32970362370989,36,28160
71.88684707600422,50,19913
66.38527523790934,64,44014
96.7803933291966,53,59311
63.778669699705475,81,24862
126.2788017408243,17,71963
43.213641546087814,10,13095
125.46910005005537,95,41138
40.21612983237189,35,16406
37.363436730017014,26,18714
118.71233633979293,47,35325
86.7100784246075,14,25750
128.32215115849274,43,70112
76.6834728815115,38,21445
88.01900666261567,47,55928
104.62101348514652,24,34813
88.47848295835553,60,33159
59.930059289032954,56,23647
93.69354057243825,97,52716
90.35588172720657,28,33043
75.44936279555736,13,20799
92.05492866077223,95,58222
106.6644230293336,60,69088
74.384180574195,15,30425
66.68925867542464,16,32334
118.85198246285341,39,67256
62.282197317076644,42,24326
49.28964542982453,74,34171
98.44810812946702,57,28147
91.06482367099414,45,31032
68.15998504767654,67,41318
75.71207057088085,17,31230
33.85086321632478,32,16154
33.47873437928931,74,22302
115.1809367276726,88,57389
71.5770903979097,28,35441
90.22543285531165,14,52820
122.0288543027189,35,47397
98.44996853554008,64,59831
81.57830886995674,28,22916
87.9423450608566,21,51218
114.38803199719884,84,50622
99.94427091981663,28,41167
81.58985406932032,64,39412
96.0907004257171,83,38627
121.8170872203664,93,75818
100.32645892054744,83,28809
