vibration,temperature,pressure,total_hours,maintenance_history,RUL_days
6.243561663863074,50.93645469887248,61.47962904552335,918,3,337.3917578116413
14.310000289738827,49.75830392575999,82.48890963699877,4968,1,197.8077474525397
11.247915185359671,102.50036644168293,78.41448368111432,112,3,272.10430619193903
9.381218778758512,49.96369598796049,23.85099142243963,7827,3,254.3361405165939
3.1842609661941115,51.75597809029048,23.43245227673265,1020,2,272.33094259310695
3.183923284706837,90.7518609934371,34.1356930970422,5020,2,234.8012644232613
1.8131705703547925,65.9791873960432,42.49672537069335,2518,2,243.1978698355986
13.126466040849092,92.1368445564145,46.76100232676343,9606,2,146.08482283530344
9.415610164404923,35.22929260515082,71.17274951500107,6575,2,253.95568785484295
10.913016089144637,69.00569549387075,15.101238894925187,2117,2,214.55047092245408
1.2881829201412343,32.68908801466261,13.120543380345975,8057,2,255.32618463657002
14.57873793026792,35.01225627642836,45.27195066495181,9520,2,225.26033894497505
12.654196971205904,102.51499626755287,72.74473229241823,4892,2,218.8999331158881
3.972747549495866,41.13962968940761,27.40918086608343,6930,2,193.07572913619464
3.5455495408994087,72.59365458201736,67.73540331306265,2534,2,241.20256362332975
3.5676631379480734,62.887648208056525,33.38453241462695,2968,1,223.86971493500667
5.259391401433528,57.78746610070741,89.74774979321647,1538,1,200.7355644900356
8.346590042851329,101.9866676549818,90.61209498399549,3643,2,193.33176098979078
7.047230260989621,31.74587174203916,36.75584838531938,1881,1,209.2414403805324
5.077207962772587,83.10317489404713,30.699437856691645,6443,1,180.136254409779
9.565940526113312,107.07155473708403,47.017357485960815,2363,3,282.77358946269806
2.9529140491285855,74.81345467694736,31.647842666213386,311,1,249.4247755636053
5.090025079493055,104.94579696264735,70.51454589625334,8799,2,129.11648100200412
6.129065806111684,34.1806303428819,84.34582160934569,6259,2,186.0837906999991
7.384979779038503,63.50346552593291,70.57829178200953,7127,3,193.7758689481966
11.99246345950219,50.81262327696409,84.19154025244146,431,2,297.4247425631008
3.7954329502170365,88.46567719845838,45.72929459867267,6960,2,173.9133677167909
8.199282137790561,108.50376723977973,24.06852736379748,8144,2,160.26487785721758
9.293803964068594,50.52240499553982,76.41558526578329,8269,2,197.86738393326627
1.6503057780799681,82.33396811792596,42.44270546273985,8842,2,206.20585562636072
9.505627926620138,45.847810620779214,70.41437427062192,5820,1,169.44061655710524
3.3873377316220816,75.22642036572879,34.35795477835891,9233,3,243.7456051382122
1.9107223017939132,67.1145989350669,17.31066713260054,827,2,225.4395271462522
14.284397521546666,107.76042637052296,99.33236159389871,5075,2,145.93886952799045
14.518848463043831,78.68218181571733,24.058135713753934,3343,2,193.44368683754016
12.317562873630456,57.960509766945506,98.95788945671329,748,2,293.8712867893673
5.26459276842719,39.127662791034666,97.95519393098026,5195,3,259.4093303413609
2.367409596089374,42.09974629879476,81.44362935172357,6714,2,229.8120390217702
10.579262371170197,48.025354396098805,69.34806658737978,7235,2,201.06359788460054
7.162134912354418,50.07733290722384,62.002634522597624,1109,1,244.48958918215993
2.7085352878269036,98.04928462729103,87.94913908400513,1650,3,251.41710549499388
7.932476741557783,74.89782306260199,36.04955694575391,9095,2,219.26412570468509
1.4814392956130575,71.87127290994931,52.091309123638936,7592,2,216.41527820765504
13.73048562910295,39.1815097495374,65.74509724298517,3501,1,244.5468470387205
4.622919742400237,98.8111754679548,47.007142828254196,7547,2,209.00191673289308
10.275311980955747,87.8251442566787,48.473780868124116,5524,3,253.56716330011037
5.363955065251753,35.41346895200013,39.72562007518759,4341,2,301.0403486151765
8.280952296489351,86.62680777838149,60.780863501608245,3261,2,243.57520801751932
8.653943910805914,73.48305738741169,86.55170752136044,4255,1,200.5921237836357
3.5879623773573783,36.53802765974226,28.137554020568157,7578,2,187.69399650877344
14.57418478870382,66.66405132229252,94.09897348780973,8819,2,189.78023838995813
11.851859527055604,68.77570297040376,72.01788883734068,9315,3,146.07600806526366
14.152985181898648,43.26196321306206,84.09458914120272,6717,2,216.52539211055225
13.527582905987083,105.65585176002259,60.05716233670105,5760,3,238.6194983534498
9.370599703355191,97.99802971845295,80.15650312816571,8724,2,146.903727570115
